"AriaId","AriaName","AriaOpera"
"2551","Barbaro_non","Adr"
"2601","Barbaro_non","Adr"
"2638","Barbaro_non","Adr"
"2666","Barbaro_non","Adr"
"2692","Barbaro_non","Adr"
"2712","Barbaro_non","Adr"
"2614","Barbaro_non","Adr"
"2754","Barbaro_non","Adr"
"2775","Barbaro_non","Adr"
"2552","Non_ritrova","Adr"
"2602","Non_ritrova","Adr"
"2713","Non_ritrova","Adr"
"2617","Non_ritrova","Adr"
"2636","Non_ritrova","Adr"
"2667","Non_ritrova","Adr"
"2694","Non_ritrova","Adr"
"2738","Non_ritrova","Adr"
"2755","Non_ritrova","Adr"
"2776","Non_ritrova","Adr"
"2553","Oh_dio","Adr"
"2637","Oh_dio","Adr"
"2668","Oh_dio","Adr"
"2693","Oh_dio","Adr"
"2714","Oh_dio","Adr"
"2739","Oh_dio","Adr"
"2756","Oh_dio","Adr"
"2777","Oh_dio","Adr"
"2588","Son_sventurato","Adr"
"2603","Son_sventurato","Adr"
"2618","Son_sventurato","Adr"
"2669","Son_sventurato","Adr"
"2695","Son_sventurato","Adr"
"2715","Son_sventurato","Adr"
"2757","Son_sventurato","Adr"
"2778","Son_sventurato","Adr"
"2554","E_ingrato","Adr"
"2696","E_ingrato","Adr"
"0635","E_prezzo","Ale"
"0958","E_prezzo","Ale"
"2282","E_prezzo","Ale"
"1262","E_prezzo","Ale"
"1034","E_prezzo","Ale"
"1084","E_prezzo","Ale"
"1341","E_prezzo","Ale"
"1311","E_prezzo","Ale"
"1053","E_prezzo","Ale"
"0999","E_prezzo","Ale"
"0668","E_prezzo","Ale"
"1386","E_prezzo","Ale"
"0833","E_prezzo","Ale"
"1188","E_prezzo","Ale"
"0799","E_prezzo","Ale"
"1109","E_prezzo","Ale"
"0870","E_prezzo","Ale"
"0636","Vedrai_con","Ale"
"0959","Vedrai_con","Ale"
"0721","Vedrai_con","Ale"
"1427","Vedrai_con","Ale"
"1263","Vedrai_con","Ale"
"1035","Vedrai_con","Ale"
"1125","Vedrai_con","Ale"
"1457","Vedrai_con","Ale"
"1419","Vedrai_con","Ale"
"0898","Vedrai_con","Ale"
"1342","Vedrai_con","Ale"
"1312","Vedrai_con","Ale"
"1054","Vedrai_con","Ale"
"1000","Vedrai_con","Ale"
"0669","Vedrai_con","Ale"
"0690","Vedrai_con","Ale"
"1479","Vedrai_con","Ale"
"1571","Vedrai_con","Ale"
"1316","Vedrai_con","Ale"
"1264","Vedrai_con","Ale"
"1431","Vedrai_con","Ale"
"1130","Vedrai_con","Ale"
"1189","Vedrai_con","Ale"
"0748","Vedrai_con","Ale"
"1301","Vedrai_con","Ale"
"0811","Vedrai_con","Ale"
"0982","Vedrai_con","Ale"
"1098","Vedrai_con","Ale"
"1072","Vedrai_con","Ale"
"1110","Vedrai_con","Ale"
"1018","Vedrai_con","Ale"
"0871","Vedrai_con","Ale"
"1753","Vedrai_con","Ale"
"0637","Vil_trofeo","Ale"
"0960","Vil_trofeo","Ale"
"0722","Vil_trofeo","Ale"
"1428","Vil_trofeo","Ale"
"2284","Vil_trofeo","Ale"
"1266","Vil_trofeo","Ale"
"1085","Vil_trofeo","Ale"
"1036","Vil_trofeo","Ale"
"1420","Vil_trofeo","Ale"
"0899","Vil_trofeo","Ale"
"1343","Vil_trofeo","Ale"
"1331","Vil_trofeo","Ale"
"1055","Vil_trofeo","Ale"
"1001","Vil_trofeo","Ale"
"0670","Vil_trofeo","Ale"
"0691","Vil_trofeo","Ale"
"1481","Vil_trofeo","Ale"
"1387","Vil_trofeo","Ale"
"1576","Vil_trofeo","Ale"
"0834","Vil_trofeo","Ale"
"1327","Vil_trofeo","Ale"
"1191","Vil_trofeo","Ale"
"1269","Vil_trofeo","Ale"
"1432","Vil_trofeo","Ale"
"1132","Vil_trofeo","Ale"
"1190","Vil_trofeo","Ale"
"0749","Vil_trofeo","Ale"
"1305","Vil_trofeo","Ale"
"1204","Vil_trofeo","Ale"
"0983","Vil_trofeo","Ale"
"1073","Vil_trofeo","Ale"
"1111","Vil_trofeo","Ale"
"1019","Vil_trofeo","Ale"
"0872","Vil_trofeo","Ale"
"1775","Vil_trofeo","Ale"
"0812","Non_trionfa","Ale"
"0638","Chi_vive","Ale"
"0961","Chi_vive","Ale"
"0723","Chi_vive","Ale"
"1254","Chi_vive","Ale"
"2288","Chi_vive","Ale"
"1267","Chi_vive","Ale"
"1086","Chi_vive","Ale"
"1037","Chi_vive","Ale"
"0900","Chi_vive","Ale"
"1344","Chi_vive","Ale"
"1291","Chi_vive","Ale"
"1056","Chi_vive","Ale"
"0671","Chi_vive","Ale"
"0692","Chi_vive","Ale"
"1490","Chi_vive","Ale"
"1393","Chi_vive","Ale"
"1388","Chi_vive","Ale"
"1572","Chi_vive","Ale"
"1134","Chi_vive","Ale"
"1299","Chi_vive","Ale"
"1433","Chi_vive","Ale"
"1192","Chi_vive","Ale"
"0750","Chi_vive","Ale"
"1306","Chi_vive","Ale"
"0813","Chi_vive","Ale"
"1205","Chi_vive","Ale"
"2422","Chi_vive","Ale"
"0984","Chi_vive","Ale"
"1074","Chi_vive","Ale"
"1112","Chi_vive","Ale"
"1020","Chi_vive","Ale"
