"name","value"
"multi_lo_ciup_galuppi_hasse_1242","5.87242275978773"
"multi_lo_galuppi_manna_1241","3.45433804129174"
"multi_lo_galuppi_manna_1242","3.01763924255647"
"multi_lo_cilow_galuppi_manna_1241","0.601326255645175"
"multi_lo_cilow_galuppi_manna_1242","0.548090132679671"
"multi_lo_ciup_galuppi_manna_1241","6.30734982693831"
"multi_lo_ciup_galuppi_manna_1242","5.48718835243327"
"multi_n_signif","3"
"multi_n_signif_marginal","103"
"multi_prob_train_1241","0.866777876632929"
"multi_prob_train_1242","0.864203235445774"
"ale_prob_train_1239","0.820628523202633"
"multi_p_BaldassareGaluppi_1241","0.895554413442473"
"multi_p_GennaroManna_1241","0.0283068816111154"
"multi_p_GioacchinoCocchi_1241","0.00118074889960124"
"multi_p_JohannAdolphHasse_1241","0.0727803117899011"
"multi_p_JohannChristianBach_1241","0.00217764425690908"
"multi_p_BaldassareGaluppi_1242","0.918008843953675"
"multi_p_GennaroManna_1242","0.0449058368048905"
"multi_p_GioacchinoCocchi_1242","0.00171978328572894"
"multi_p_JohannAdolphHasse_1242","0.0343485660771873"
"multi_p_JohannChristianBach_1242","0.00101696987851801"
"multi_cilow_BaldassareGaluppi_1241","0.405568137223036"
"multi_cilow_GennaroManna_1241","0.00185523699974141"
"multi_cilow_GioacchinoCocchi_1241","6.86755991858219e-05"
"multi_cilow_JohannAdolphHasse_1241","0.00452218048316927"
"multi_cilow_JohannChristianBach_1241","0.000127233261474329"
"multi_cilow_BaldassareGaluppi_1242","0.566792846410306"
"multi_cilow_GennaroManna_1242","0.00415080794487323"
"multi_cilow_GioacchinoCocchi_1242","0.000127179814724613"
"multi_cilow_JohannAdolphHasse_1242","0.00282372945772057"
"multi_cilow_JohannChristianBach_1242","7.56191375970986e-05"
"multi_ciup_BaldassareGaluppi_1241","0.990805116782521"
"multi_ciup_GennaroManna_1241","0.313461811092689"
"multi_ciup_GioacchinoCocchi_1241","0.0199416432623977"
"multi_ciup_JohannAdolphHasse_1241","0.575600461598876"
"multi_ciup_JohannChristianBach_1241","0.0360788749807471"
"multi_ciup_BaldassareGaluppi_1242","0.989670962405371"
"multi_ciup_GennaroManna_1242","0.346560741802553"
"multi_ciup_GioacchinoCocchi_1242","0.022800908302614"
"multi_ciup_JohannAdolphHasse_1242","0.308825425432151"
"multi_ciup_JohannChristianBach_1242","0.013518372116464"
"ale_n_known","654"
"ale_n_train","456"
"ale_n_test","198"
"ale_p_train","544"
"ale_p_all","550"
"ale_acc_MC","0.343434343434343"
"ale_acc_LL","0.838383838383838"
"ale_acc_RL","0.878787878787879"
"ale_acc_RF","0.767676767676768"
"ale_acc_AutoML","0.883838383838384"
"ale_f1_MC","0.0852130325814536"
"ale_f1_LL","0.746383012696542"
"ale_f1_RL","0.826575423147203"
"ale_f1_RF","0.548921448921449"
"ale_f1_AutoML","0.851316061157745"
"ale_p_rl_MC","1"
"ale_p_rl_LL","0.961460385396146"
"ale_p_rl_RL",NA
"ale_p_rl_RF","0.999970000299997"
"ale_p_rl_AutoML","0.459115408845912"
"ale_p_f1_rl_MC","1"
"ale_p_f1_rl_LL","0.94270057299427"
"ale_p_f1_rl_RL",NA
"ale_p_f1_rl_RF","1"
"ale_p_f1_rl_AutoML","0.224877751222488"
"ale_p_mc_MC",NA
"ale_p_mc_LL","9.99990000099999e-06"
"ale_p_mc_RL","9.99990000099999e-06"
"ale_p_mc_RF","9.99990000099999e-06"
"ale_p_mc_AutoML","9.99990000099999e-06"
"ale_p_f1_mc_MC",NA
"ale_p_f1_mc_LL","9.99990000099999e-06"
"ale_p_f1_mc_RL","9.99990000099999e-06"
"ale_p_f1_mc_RF","9.99990000099999e-06"
"ale_p_f1_mc_AutoML","9.99990000099999e-06"
"ale_recall_BaldassareGaluppi","0.822222222222222"
"ale_recall_DavidePerez","0.959183673469388"
"ale_recall_DomenicoNataleSarro","0.692307692307692"
"ale_recall_GaetanoMariaSchiassi","0.666666666666667"
"ale_recall_MicheleCaballone","0.529411764705882"
"ale_recall_NiccolJommelli","1"
"ale_n_test_errors","24"
"ale_n_err_jommelli","10"
"ale_lambda_1se","0.0487979541756417"
"ale_lambda_eln","0.0243989770878208"
"ale_diff_galuppi_jommelli_1239","0.841227288988936"
"ale_lo_galuppi_jommelli_1239","2.86683690109454"
