"AriaId","marker","value","perez_high","pct","pctl_galuppi"
1239,"SoundVa_LowestNoteIndex",50,TRUE,14.0361506099515,0.595588235294118
1239,"Harmony_Chords_Grouping_2SD_Per",0.238356164383562,FALSE,-10.0639355761857,0.625
1239,"Harmony_Chord_vi_Per",0.0356164383561643,FALSE,-9.57308128198852,0.772058823529412
1239,"PartVn_Degree1_Per_relative",0.211304672847293,TRUE,9.96019252046951,0.595588235294118
1239,"PartVn_Degree6_Per_relative",0.0961220907337324,FALSE,-8.92533412836455,0.794117647058823
1239,"Score_Degree1_Per_relative",0.21612296110414,TRUE,9.48825029913305,0.360294117647059
1239,"PartBs_Degree2_Per_relative",0.0738396624472573,FALSE,-8.17604397601377,0.779411764705882
1239,"Harmony_Chords_Grouping_2T_Per",0.358904109589041,TRUE,8.86034728345633,0.669117647058823
1239,"Harmony_Chords_Grouping_1sd_Per",0.153424657534247,FALSE,-7.77634395151998,0.772058823529412
1239,"Harmony_Key_iii_PercentageMeasures",0.0294117647058823,FALSE,-7.6655315711122,0.470588235294118
1239,"PartVnII_Intervalm.6_Per",0.0059808612440191,TRUE,8.30126924231502,0.625
1239,"SoundVa_DescendingIntervallicStd",3.07380478594021,FALSE,-7.61281311768834,0.191176470588235
1239,"PartBs_Degree6_Per_relative",0.0443037974683544,FALSE,-7.52548663293722,0.448529411764706
1239,"PartVnI_IntervalsMajorAll_Per",0.459731543624161,FALSE,-7.35151567347009,0.963235294117647
1239,"PartBs_Degree3_Per_relative",0.135021097046413,FALSE,-7.23547427345671,0.63235294117647
1239,"PartBs_Degree1_Per_relative",0.232067510548523,TRUE,7.75175969467434,0.25
1239,"SoundBs_Ambitus",24,FALSE,-6.89395918967073,0.492647058823529
1239,"PartVn_Degree3_Per_relative",0.143674202225292,TRUE,7.38975022276365,0.147058823529412
1239,"Score_Degree6_Per_relative",0.0806148055207026,FALSE,-6.72616500254335,0.580882352941177
1239,"PartHnII_IntervalP.8_Per",0,FALSE,-6.62568059586078,0.735294117647059
1239,"SoundVa_IntervalP.4_Per",0.0255863539445629,TRUE,7.05525608568727,0.75735294117647
1239,"SoundVa_IntervalM3_Per",0.021321961620469,TRUE,6.87182859866096,0.536764705882353
