"problem","class","term","estimate","z_value"
"ale","Domenico Natale Sarro","SoundVa_IntervallicSkewness",0.078170012629192,2.2138259187121
"ale","Baldassare Galuppi","Harmony_Chords_Grouping_1sd_Per",0.0825789735183474,2.21217226666483
"ale","Niccolò Jommelli","SoundVa_IntervalM2_Per",0.11156662616694,2.20082113354278
"ale","Davide Perez","SoundVa_Intervalm6_Per",0.12089899002293,2.20016340483855
"ale","Michele Caballone","PartObI_IntervalM3_Per",0.0872538347398869,2.18897567145213
"ale","Michele Caballone","PartVa_Degree7_Per_relative",-0.0946021074520281,-2.18893184939828
"ale","Davide Perez","PartVnI_Degree7_Per_relative",-0.0994291509055537,-2.18421469942738
"ale","Niccolò Jommelli","PartObI_IntervalM3_Per",-0.0843507700596859,-2.18091708222978
"ale","Gaetano Maria Schiassi","SoundVa_IntervalsMinorDesc_Per",-0.0613341567552768,-2.17599817313224
"ale","Domenico Natale Sarro","PartBs_DynGrad",-0.0903884578394379,-2.1679354551784
"ale","Niccolò Jommelli","Harmony_Key_IV_PercentageMeasures",0.132538679292322,2.16491066400547
"ale","Baldassare Galuppi","PartHnI_IntervalM3_Per",0.0972177513906847,2.13522329624876
"ale","Domenico Natale Sarro","Harmony_Chord_iv_Per",0.0814395526653786,2.13518408047479
"ale","Michele Caballone","SoundVa_IntervalP.4_Per",-0.0878216613451391,-2.13367813072995
"ale","Baldassare Galuppi","Harmony_Chords_Grouping_2SD_Per",0.0811457982178008,2.1229791506352
"ale","Michele Caballone","dum_TempoGrouped2_X",0.115698567638212,2.11953249151617
"ale","Michele Caballone","PartVnII_IntervalsPerfectDesc_Per",-0.0728615160028198,-2.11784383510267
"ale","Niccolò Jommelli","Score_IntervalA1_Per",0.0922323823386668,2.11674391837726
"ale","Domenico Natale Sarro","Score_IntervalP4_Per",0.0650814083696685,2.10962557871869
"ale","Davide Perez","PartVnI_Degree3_Per_relative",0.106120991123642,2.1083847673595
"ale","Michele Caballone","PartBs_DynGrad",-0.0976224578040948,-2.10295824600038
"ale","Baldassare Galuppi","SoundVa_IntervalsPerfectAsc_Per",0.0630063805065941,2.09415494471644
"ale","Baldassare Galuppi","Harmony_Key_IV_PercentageMeasures",-0.125110667473499,-2.09243512495518
"ale","Niccolò Jommelli","SoundVn_Ambitus",0.0900180047650345,2.08570231140194
"ale","Domenico Natale Sarro","PartVa_DynMean",-0.0847926060207944,-2.08152299213386
"ale","Baldassare Galuppi","PartVnI_Degree5_Per_relative",0.104673063348859,2.07657869801622
"ale","Michele Caballone","SoundBs_DescendingIntervallicMean",0.0720843417764679,2.07424565848651
"ale","Gaetano Maria Schiassi","SoundBs_LargestSemitonesAsc",-0.0702606212261047,-2.0732252361767
"ale","Baldassare Galuppi","SoundVa_DescendingIntervallicStd",0.0726364169948232,2.06822204598402
"ale","Baldassare Galuppi","PartBs_DynMean",-0.112065362577865,-2.05903528121226
"ale","Niccolò Jommelli","PartHnII_IntervalP4_Per",-0.091655639527632,-2.04671379856562
"ale","Domenico Natale Sarro","PartVnII_DynGrad",-0.0881925906819617,-2.04218795688646
"ale","Baldassare Galuppi","SoundVa_IntervalM.2_Per",-0.0881002078698742,-2.04127107519878
"ale","Michele Caballone","SoundBs_AbsoluteIntervallicTrimDiff",-0.0785936044042125,-2.03823817158009
"ale","Niccolò Jommelli","PartVnII_IntervalM9_Per",0.13116400242486,2.03565978707803
"ale","Baldassare Galuppi","dum_TimeSignature_X4.4",-0.0885500244997965,-2.0339699033308
"ale","Baldassare Galuppi","PartVnII_Intervalm.6_Per",-0.103661969733649,-2.03196484863924
"ale","Michele Caballone","dum_Instrumentation_vn.va.bs",-0.0596630850428572,-2.01842323023031
"ale","Niccolò Jommelli","PartHnII_Degree5_Per_relative",0.0838802279329232,2.01322346687269
"ale","Davide Perez","FamilyVoice_Density",0.0887654720655811,2.01277396990183
"ale","Domenico Natale Sarro","PartVnII_Degree.3_Per_relative",0.0986963531254005,2.01067225952378
"ale","Davide Perez","PartVa_Degree5_Per_relative",0.0906875931625364,2.00200145640339
"ale","Michele Caballone","PartHnI_Intervalm.2_Per",-0.0834955581507943,-1.99762759471319
"ale","Baldassare Galuppi","PartObII_IntervalP4_Per",0.0875489116625493,1.9902388911018
"ale","Gaetano Maria Schiassi","SoundBs_HighestNoteIndex",-0.0744852031363585,-1.97017131846748
"ale","Michele Caballone","PartVnI_IntervalsPerfectDesc_Per",-0.0657784430841786,-1.96755420779263
"binary",NA,"SoundVa_IntervalM2_Per",-0.058588557411195,-3.04902953003635
